cross,mean,SE,sex,enviro,sire,dam
P1,91.32,6.008527274,U,26,1,1
P2,53.76470588,6.776651856,U,26,2,2
F1,49.88,5.324258947,U,26,2,1
rF1,63.875,8.866626995,U,26,1,2
F2a,29.58333333,3.525788829,U,26,3,3
F2b,30.81818182,5.017819486,U,26,3,4
rF2a,18.18181818,5.082623127,U,26,4,3
rF2b,23.83333333,5.308417177,U,26,4,4
BC1a,31.85,2.987055406,U,26,3,1
BC1b,23.55,3.971924497,U,26,4,1
rBC1a,40.55,5.187776625,U,26,1,3
rBC1b,37.23809524,4.87066279,U,26,1,4
BC2a,30.1,3.513807352,U,26,3,2
BC2b,20.23809524,3.538162532,U,26,4,2
rBC2a,10.85,1.487270548,U,26,2,3
rBC2b,11.6,2.780003786,U,26,2,4
