cross,mean,SE,sex,enviro,sire,dam
P1,39.00000,4.48702,U,35,1,1
P2,37.88889,6.700351,U,35,2,2
F1,52.37500,4.75446,U,35,2,1
rF1,46.57143,5.20466,U,35,1,2
F2a,16.25000,2.04197,U,35,3,3
F2b,28.25000,3.84406,U,35,3,4
rF2a,32.00000,4.21731,U,35,4,3
rF2b,19.00000,3.05310,U,35,4,4
BC1a,35.42857,7.60594,U,35,3,1
BC1b,45.12500,2.77384,U,35,4,1
rBC1a,41.66667,5.30199,U,35,1,3
rBC1b,47.75000,8.17389,U,35,1,4
BC2a,12.57143,2.81879,U,35,3,2
BC2b,10.25000,1.44852,U,35,4,2
rBC2a,55.37500,5.44760,U,35,2,3
rBC2b,50.00000,5.23041,U,35,2,4
