cross,mean,SE,sex,enviro,sire,dam
P1,27.14286,52.782313,U,29,1,1
P2,9.28571,9.462585,U,29,2,2
F1,13.00000,3.333333,U,29,2,1
rF1,44.57143,95.945578,U,29,1,2
F2a,21.57143,19.659864,U,29,3,3
F2b,24.28571,29.605442,U,29,3,4
rF2a,25.71429,34.843537,U,29,4,3
rF2b,14.42857,18.088435,U,29,4,4
BC1a,14.00000,2.238095,U,29,3,1
BC1b,14.00000,11.047619,U,29,4,1
rBC1a,23.71429,41.034014,U,29,1,3
rBC1b,30.57143,88.945578,U,29,1,4
BC2a,45.00000,59.285714,U,29,3,2
BC2b,39.33333,65.511111,U,29,4,2
rBC2a,30.57143,40.659864,U,29,2,3
rBC2b,30.66667,83.711111,U,29,2,4
