cross,mean,SE,sex,enviro,sire,dam
P1,59.16000,6.834150,U,35,1,1
P2,37.88889,6.700351,U,35,2,2
F1,57.44000,5.602404,U,35,2,1
rF1,77.72727,4.738249,U,35,1,2
F2a,27.50000,4.622901,U,35,3,3
F2b,28.66667,2.960173,U,35,3,4
rF2a,33.83333,3.235301,U,35,4,3
rF2b,24.75000,3.731774,U,35,4,4
BC1a,31.00000,3.423309,U,35,3,1
BC1b,39.14286,2.658576,U,35,4,1
rBC1a,12.52381,1.443572,U,35,1,3
rBC1b,13.04762,2.138620,U,35,1,4
BC2a,21.90476,3.984437,U,35,3,2
BC2b,30.57143,3.074141,U,35,4,2
rBC2a,20.76190,3.285542,U,35,2,3
rBC2b,24.09524,2.725457,U,35,2,4
