cross,mean,SE,sex,enviro,sire,dam
P1,35.14286,9.87886,U,35,1,1
P2,61.28571,6.17489,U,35,2,2
F1,51.00000,4.95215,U,35,2,1
rF1,63.33333,10.94430,U,35,1,2
F2a,52.42857,11.80165,U,35,3,3
F2b,72.50000,6.52048,U,35,3,4
rF2a,64.42857,2.91839,U,35,4,3
rF2b,61.28571,5.60915,U,35,4,4
BC1a,85.28571,8.31440,U,35,3,1
BC1b,79.71429,12.29540,U,35,4,1
rBC1a,66.14286,7.40472,U,35,1,3
rBC1b,55.66667,8.66282,U,35,1,4
BC2a,33.14286,6.88486,U,35,3,2
BC2b,37.85714,4.32285,U,35,4,2
rBC2a,60.71429,6.14009,U,35,2,3
rBC2b,48.42857,9.31680,U,35,2,4
