cross,mean,SE,sex,enviro,sire,dam
P1,32.37500,5.82463,U,35,1,1
P2,42.50000,4.31774,U,35,2,2
F1,59.83333,14.36991,U,35,2,1
rF1,37.50000,15.87398,U,35,1,2
F2a,32.00000,6.65475,U,35,3,3
F2b,35.57143,8.91723,U,35,3,4
rF2a,47.00000,6.98638,U,35,4,3
rF2b,28.14286,7.32715,U,35,4,4
BC1a,30.80000,9.45727,U,35,3,1
BC1b,51.42857,8.53524,U,35,4,1
rBC1a,45.50000,6.05628,U,35,1,3
rBC1b,45.25000,7.76381,U,35,1,4
BC2a,34.14286,7.10610,U,35,3,2
BC2b,39.60000,15.73086,U,35,4,2
rBC2a,53.00000,6.62786,U,35,2,3
rBC2b,58.28571,8.52926,U,35,2,4
