cross,mean,SE,sex,enviro,sire,dam
P1,72.42857,9.36777,U,29,1,1
P2,47.16667,10.03919,U,29,2,2
F1,77.00000,14.16905,U,29,2,1
rF1,57.85714,15.20875,U,29,1,2
F2a,81.57143,6.70770,U,29,3,3
F2b,76.71429,12.84470,U,29,3,4
rF2a,82.85714,6.16607,U,29,4,3
rF2b,74.00000,5.34077,U,29,4,4
BC1a,48.00000,9.03960,U,29,3,1
BC1b,67.28571,3.95639,U,29,4,1
rBC1a,73.42857,8.22267,U,29,1,3
rBC1b,95.83333,3.04868,U,29,1,4
BC2a,89.42857,16.20091,U,29,3,2
BC2b,81.85714,22.50865,U,29,4,2
rBC2a,72.42857,13.66061,U,29,2,3
rBC2b,64.71429,14.99637,U,29,2,4
