cross,mean,SE,sex,enviro,sire,dam
P1,37.88889,44.894699,U,35,1,1
P2,59.16000,46.705600,U,35,2,2
F1,57.44000,31.386933,U,35,2,1
rF1,77.72727,22.451004,U,35,1,2
F2a,27.50000,21.371212,U,35,3,3
F2b,28.66667,8.762626,U,35,3,4
rF2a,33.83333,10.467172,U,35,4,3
rF2b,24.75000,13.926136,U,35,4,4
BC1a,31.00000,11.719048,U,35,3,1
BC1b,39.14286,7.068027,U,35,4,1
rBC1a,12.52381,2.083900,U,35,1,3
rBC1b,13.04762,4.573696,U,35,1,4
BC2a,21.90476,15.875737,U,35,3,2
BC2b,30.57143,9.450340,U,35,4,2
rBC2a,20.76190,10.794785,U,35,2,3
rBC2b,24.09524,7.428118,U,35,2,4
P1,58.76,8.884266667,U,29,17,17
P2,59.5,44.57608696,U,29,18,18
F1,63.72,21.61506667,U,29,18,17
rF1,84.32,20.37906667,U,29,17,18
F2a,24.58333333,16.41603535,U,29,19,19
F2b,30.16666667,10.66414141,U,29,19,20
rF2a,31.16666667,8.542929293,U,29,20,19
rF2b,34.83333333,24.6489899,U,29,20,20
BC1a,36.95238095,14.38798186,U,29,19,17
BC1b,41,12.13809524,U,29,20,17
rBC1a,16.19047619,5.274376417,U,29,17,19
rBC1b,19,7.123809524,U,29,17,20
BC2a,32.61904762,20.80226757,U,29,19,18
BC2b,33.95238095,14.94512472,U,29,20,18
rBC2a,20.19047619,6.731519274,U,29,18,19
rBC2b,30.42857143,15.37891156,U,29,18,20
P1,53.76470588,45.92301038,U,26,33,33
P2,55.08,34.52973333,U,26,34,34
F1,59.36,52.48626667,U,26,34,33
rF1,79.42857143,22.88843537,U,26,33,34
F2a,17.16666667,14.92171717,U,26,35,35
F2b,15.41666667,11.05239899,U,26,35,36
rF2a,22.25,17.97159091,U,26,36,35
rF2b,23.16666667,13.13383838,U,26,36,36
BC1a,29.52380952,11.00770975,U,26,35,33
BC1b,28.23809524,12.6138322,U,26,36,33
rBC1a,12.76190476,4.485260771,U,26,33,35
rBC1b,14.14285714,5.358503401,U,26,33,36
BC2a,27.9047619,20.50430839,U,26,35,34
BC2b,17.0952381,9.40430839,U,26,36,34
rBC2a,18.71428571,6.562585034,U,26,34,35
rBC2b,21.23809524,8.123356009,U,26,34,36
