cross,mean,SE,sex,enviro,sire,dam
P1,33.25000,6.96612,U,35,1,1
P2,42.50000,4.31774,U,35,2,2
F1,42.00000,9.03169,U,35,2,1
rF1,31.57143,7.25015,U,35,1,2
F2a,40.57143,10.08737,U,35,3,3
F2b,33.57143,6.76425,U,35,3,4
rF2a,44.00000,2.47656,U,35,4,3
rF2b,50.75000,7.29909,U,35,4,4
BC1a,44.00000,10.65207,U,35,3,1
BC1b,41.28571,8.60430,U,35,4,1
rBC1a,42.12500,8.37180,U,35,1,3
rBC1b,20.66667,2.33333,U,35,1,4
BC2a,45.85714,7.70414,U,35,3,2
BC2b,40.33333,10.26861,U,35,4,2
rBC2a,46.85714,10.37724,U,35,2,3
rBC2b,55.33333,11.56623,U,35,2,4
