cross,mean,SE,sex,enviro,sire,dam
P1,91.6,6.014704204,U,35,1,1
P2,37.88888889,6.700350634,U,35,2,2
F1,56.16,4.63093943,U,35,2,1
rF1,62.91666667,9.471145476,U,35,1,2
F2a,32.08333333,4.580026355,U,35,3,3
F2b,31.91666667,5.151431595,U,35,3,4
rF2a,21.66666667,3.146266025,U,35,4,3
rF2b,33.08333333,4.151411467,U,35,4,4
BC1a,40.75,2.531771795,U,35,3,1
BC1b,22.95238095,3.120955433,U,35,4,1
rBC1a,44.47368421,4.654978107,U,35,1,3
rBC1b,39,3.455154879,U,35,1,4
BC2a,34.71428571,4.634828223,U,35,3,2
BC2b,26.71428571,4.306773656,U,35,4,2
rBC2a,13.25,2.489847808,U,35,2,3
rBC2b,21,3.106021317,U,35,2,4
