cross,mean,SE,sex,enviro,sire,dam
P1,25.71429,9.13318,U,29,1,1
P2,27.14286,7.26514,U,29,2,2
F1,32.00000,8.96289,U,29,2,1
rF1,18.33333,3.47051,U,29,1,2
F2a,34.71429,9.52119,U,29,3,3
F2b,40.33333,8.87944,U,29,3,4
rF2a,40.57143,4.81000,U,29,4,3
rF2b,34.57143,6.73603,U,29,4,4
BC1a,35.85714,7.42399,U,29,3,1
BC1b,40.83333,9.97135,U,29,4,1
rBC1a,28.28571,8.23383,U,29,1,3
rBC1b,29.28571,7.18369,U,29,1,4
BC2a,36.85714,8.68065,U,29,3,2
BC2b,42.57143,9.73178,U,29,4,2
rBC2a,35.00000,9.17294,U,29,2,3
rBC2b,35.85714,10.17801,U,29,2,4
