cross,mean,SE,sex,enviro,sire,dam
P1,1.817389033,0.028177802,F,1,1,1
P2,2.530547673,0.027177387,F,1,2,2
F1 (P2xP1),2.213282545,0.028639244,F,1,2,1
rF1 (P1xP2),2.189280055,0.025230229,F,1,1,2
F2c (rF1xF1),2.120077075,0.024421783,F,1,4,3
F2d (rF1xrF1),2.241800424,0.022282088,F,1,4,4
BC1a (F1xP1),1.988588565,0.032621712,F,1,3,1
BC1b (rF1xP1),2.034533283,0.018203589,F,1,4,1
rBC1a(P1xF1),1.983718356,0.026992504,F,1,1,3
rBC1b(P1xrF1),1.990102062,0.031415372,F,1,1,4
BC2a (F1xP2),2.363533652,0.020998705,F,1,3,2
BC2b (rF1xP2),2.440099369,0.029199273,F,1,4,2
rBC2b(P2xrF1),2.364496071,0.021344749,F,1,2,4
(BC1bxP1),1.869403264,0.035025747,F,1,8,1
(BC2axP2),2.534825684,0.035940544,F,1,11,2
