cross,mean,SE,sex,enviro,sire,dam
P1,58.76,8.884266667,U,29,1,1
P2,60.04347826,8.622443719,U,29,2,2
F1,69.83333333,27.79951691,U,29,2,1
rF1,73.20833333,27.74992452,U,29,1,2
F2a,36.25,23.38068182,U,29,3,3
F2b,49.08333333,16.82512626,U,29,3,4
rF2a,25.41666667,32.2645202,U,29,4,3
rF2b,34.91666667,36.79482323,U,29,4,4
BC1a,43.72727273,13.55057064,U,29,3,1
BC1b,38.85,12.06986842,U,29,4,1
rBC1a,51.66666667,20.92063492,U,29,1,3
rBC1b,58.42857143,26.54081633,U,29,1,4
BC2a,25.33333333,21.27777778,U,29,3,2
BC2b,26.52380952,14.97437642,U,29,4,2
rBC2a,8.952380952,4.840362812,U,29,2,3
rBC2b,19.95238095,4.292743764,U,29,2,4
