cross,mean,SE,sex,enviro,sire,dam
P1,59.5,6.676532555,U,29,1,1
P2,58.76,2.980648699,U,29,2,2
F1,63.72,4.649200648,U,29,2,1
rF1,84.32,4.514317963,U,29,1,2
F2a,24.58333333,4.051670687,U,29,3,3
F2b,30.16666667,3.265599702,U,29,3,4
rF2a,31.16666667,2.922828988,U,29,4,3
rF2b,34.83333333,4.964774909,U,29,4,4
BC1a,36.95238095,3.793149333,U,29,3,1
BC1b,41,3.483976928,U,29,4,1
rBC1a,16.19047619,2.296601057,U,29,1,3
rBC1b,19,2.669046557,U,29,1,4
BC2a,32.61904762,4.560950293,U,29,3,2
BC2b,33.95238095,3.865892486,U,29,4,2
rBC2a,20.19047619,2.594517156,U,29,2,3
rBC2b,30.42857143,3.921595538,U,29,2,4
