cross,mean,SE,sex,enviro,sire,dam
P1,37.88888889,44.89469862,U,35,1,1
P2,64.7826087,9.122357793,U,35,2,2
F1,58.83333333,20.38647343,U,35,2,1
rF1,66.68,24.06573333,U,35,1,2
F2a,32.75,27.32007576,U,35,3,3
F2b,42.33333333,19.21717172,U,35,3,4
rF2a,26.33333333,24.92929293,U,35,4,3
rF2b,33.08333333,31.87058081,U,35,4,4
BC1a,31.13636364,12.03591106,U,35,3,1
BC1b,32.75,9.251973684,U,35,4,1
rBC1a,36.52380952,17.32199546,U,35,1,3
rBC1b,54.38095238,30.80226757,U,35,1,4
BC2a,17.61904762,11.69750567,U,35,3,2
BC2b,19.42857143,9.626530612,U,35,4,2
rBC2a,7.761904762,2.990022676,U,35,2,3
rBC2b,16.04761905,8.226077098,U,35,2,4
