cross,mean,SE,sex,enviro,sire,dam
P1,17.28571,5.290217,U,35,1,1
P2,32.37500,5.824632,U,35,2,2
F1,38.71429,7.183693,U,35,2,1
rF1,35.66667,3.835507,U,35,1,2
F2a,42.60000,8.840814,U,35,3,3
F2b,25.66667,6.349103,U,35,3,4
rF2a,45.83333,5.134307,U,35,4,3
rF2b,23.87500,5.546677,U,35,4,4
BC1a,48.16667,7.372999,U,35,3,1
BC1b,33.62500,4.083667,U,35,4,1
rBC1a,28.14286,6.246632,U,35,1,3
rBC1b,25.75000,6.554034,U,35,1,4
BC2a,27.20000,4.487761,U,35,3,2
BC2b,24.16667,1.833333,U,35,4,2
rBC2a,39.20000,8.499412,U,35,2,3
rBC2b,42.60000,5.537147,U,35,2,4
