cross,mean,SE,sex,enviro,sire,dam
P1,20.85714,6.471287,U,35,1,1
P2,24.57143,8.983734,U,35,2,2
F1,42.00000,6.271629,U,35,2,1
rF1,31.71429,7.302036,U,35,1,2
F2a,25.71429,5.990923,U,35,3,3
F2b,25.42857,5.895346,U,35,3,4
rF2a,38.42857,4.602572,U,35,4,3
rF2b,34.71429,5.638787,U,35,4,4
BC1a,39.14286,5.035250,U,35,3,1
BC1b,43.42857,6.721880,U,35,4,1
rBC1a,22.00000,3.265986,U,35,1,3
rBC1b,21.57143,6.046869,U,35,1,4
BC2a,18.57143,5.304343,U,35,3,2
BC2b,24.85714,3.712454,U,35,4,2
rBC2a,27.28571,8.005100,U,35,2,3
rBC2b,26.57143,5.437336,U,35,2,4
