cross,mean,SE,sex,enviro,sire,dam
P1,62.04347826,2.897101087,U,26,1,1
P2,53.76470588,6.776651856,U,26,2,2
F1,60.16,5.507776321,U,26,2,1
rF1,67.41666667,4.194940304,U,26,1,2
F2a,20.08333333,4.99007854,U,26,3,3
F2b,14.66666667,3.859920971,U,26,3,4
rF2a,28.41666667,3.331344103,U,26,4,3
rF2b,42.25,4.78970645,U,26,4,4
BC1a,28.45454545,4.097157326,U,26,3,1
BC1b,20.5,3.277113621,U,26,4,1
rBC1a,40.9047619,4.858916576,U,26,1,3
rBC1b,57.57142857,5.141600376,U,26,1,4
BC2a,9.476190476,2.372078702,U,26,3,2
BC2b,26.38095238,3.272887316,U,26,4,2
rBC2a,6.333333333,1.766531891,U,26,2,3
rBC2b,17.61904762,2.668579246,U,26,2,4
