cross,mean,SE,sex,enviro,sire,dam
P1,64.14286,156.78231,U,35,1,1
P2,34.78571,70.43053,U,35,2,2
F1,77.28571,210.31973,U,35,2,1
rF1,85.00000,94.61905,U,35,1,2
F2a,73.57143,52.13605,U,35,3,3
F2b,68.71429,86.03401,U,35,3,4
rF2a,60.28571,85.41497,U,35,4,3
rF2b,80.57143,28.89796,U,35,4,4
BC1a,46.14286,49.06803,U,35,3,1
BC1b,73.71429,17.93878,U,35,4,1
rBC1a,75.14286,161.11565,U,35,1,3
rBC1b,88.71429,45.36735,U,35,1,4
BC2a,95.57143,99.70748,U,35,3,2
BC2b,58.00000,291.76190,U,35,4,2
rBC2a,69.14286,95.44898,U,35,2,3
rBC2b,74.42857,111.65986,U,35,2,4
P1,72.42857,87.75510,U,29,17,17
P2,47.16667,100.78535,U,29,18,18
F1,77.00000,200.76190,U,29,18,17
rF1,57.85714,231.30612,U,29,17,18
F2a,81.57143,44.99320,U,29,19,19
F2b,76.71429,164.98639,U,29,19,20
rF2a,82.85714,38.02041,U,29,20,19
rF2b,74.00000,28.52381,U,29,20,20
BC1a,48.00000,81.71429,U,29,19,17
BC1b,67.28571,15.65306,U,29,20,17
rBC1a,73.42857,67.61224,U,29,17,19
rBC1b,95.83333,9.29444,U,29,17,20
BC2a,89.42857,262.46939,U,29,19,18
BC2b,81.85714,506.63946,U,29,20,18
rBC2a,72.42857,186.61224,U,29,18,19
rBC2b,64.71429,224.89116,U,29,18,20
