cross,mean,SE,sex,enviro,sire,dam
P1,55.08,5.876200587,U,26,1,1
P2,53.76470588,6.776651856,U,26,2,2
F1,59.36,7.244740621,U,26,2,1
rF1,79.42857143,4.784185968,U,26,1,2
F2a,17.16666667,3.862863856,U,26,3,3
F2b,15.41666667,3.32451485,U,26,3,4
rF2a,22.25,4.239291322,U,26,4,3
rF2b,23.16666667,3.624063794,U,26,4,4
BC1a,29.52380952,3.317786875,U,26,3,1
BC1b,28.23809524,3.551595726,U,26,4,1
rBC1a,12.76190476,2.117843425,U,26,1,3
rBC1b,14.14285714,2.314844142,U,26,1,4
BC2a,27.9047619,4.528168326,U,26,3,2
BC2b,17.0952381,3.066644484,U,26,4,2
rBC2a,18.71428571,2.561754288,U,26,2,3
rBC2b,21.23809524,2.850150173,U,26,2,4
