cross,mean,SE,sex,enviro,sire,dam
P1,37.88888889,44.89469862,U,35,1,1
P2,91.6,36.17666667,U,35,2,2
F1,56.16,21.4456,U,35,2,1
rF1,62.91666667,89.70259662,U,35,1,2
F2a,32.08333333,20.97664141,U,35,3,3
F2b,31.91666667,26.53724747,U,35,3,4
rF2a,21.66666667,9.898989899,U,35,4,3
rF2b,33.08333333,17.23421717,U,35,4,4
BC1a,40.75,6.409868421,U,35,3,1
BC1b,22.95238095,9.740362812,U,35,4,1
rBC1a,44.47368421,21.66882118,U,35,1,3
rBC1b,39,11.93809524,U,35,1,4
BC2a,34.71428571,21.48163265,U,35,3,2
BC2b,26.71428571,18.54829932,U,35,4,2
rBC2a,13.25,6.199342105,U,35,2,3
rBC2b,21,9.647368421,U,35,2,4
P1,58.76,8.884266667,U,29,17,17
P2,93.8,22.48333333,U,29,18,18
F1,45.29166667,21.68289553,U,29,18,17
rF1,90.875,48.27287138,U,29,17,18
F2a,33,12.5,U,29,19,19
F2b,43.7,16.57888889,U,29,19,20
rF2a,26.09090909,20.55371901,U,29,20,19
rF2b,37.41666667,22.90088384,U,29,20,20
BC1a,39.65,12.24881579,U,29,19,17
BC1b,29.19047619,17.02675737,U,29,20,17
rBC1a,52.65,27.65407895,U,29,17,19
rBC1b,46.04761905,15.530839,U,29,17,20
BC2a,41.57142857,24.6170068,U,29,19,18
BC2b,36.76190476,30.87573696,U,29,20,18
rBC2a,13.5,5.823684211,U,29,18,19
rBC2b,20.47619048,13.29342404,U,29,18,20
P1,53.76470588,45.92301038,U,26,33,33
P2,91.32,36.1024,U,26,34,34
F1,49.88,28.34773333,U,26,34,33
rF1,63.875,78.61707428,U,26,33,34
F2a,29.58333333,12.43118687,U,26,35,35
F2b,30.81818182,25.1785124,U,26,35,36
rF2a,18.18181818,25.83305785,U,26,36,35
rF2b,23.83333333,28.17929293,U,26,36,36
BC1a,31.85,8.9225,U,26,35,33
BC1b,23.55,15.77618421,U,26,36,33
rBC1a,40.55,26.91302632,U,26,33,35
rBC1b,37.23809524,23.72335601,U,26,33,36
BC2a,30.1,12.34684211,U,26,35,34
BC2b,20.23809524,12.5185941,U,26,36,34
rBC2a,10.85,2.211973684,U,26,34,35
rBC2b,11.6,7.728421053,U,26,34,36
