cross,mean,SE,sex,enviro,sire,dam
P1,24.57143,8.98373,U,35,1,1
P2,24.57143,8.46240,U,35,2,2
F1,29.57143,8.78813,U,35,2,1
rF1,23.85714,8.97464,U,35,1,2
F2a,26.14286,7.06240,U,35,3,3
F2b,31.00000,9.68799,U,35,3,4
rF2a,37.28571,7.45371,U,35,4,3
rF2b,31.42857,10.09681,U,35,4,4
BC1a,32.14286,5.95790,U,35,3,1
BC1b,40.00000,17.42467,U,35,4,1
rBC1a,19.57143,3.70879,U,35,1,3
rBC1b,14.28571,3.98039,U,35,1,4
BC2a,33.14286,7.63273,U,35,3,2
BC2b,41.28571,8.34013,U,35,4,2
rBC2a,26.00000,6.32456,U,35,2,3
rBC2b,34.28571,9.83607,U,35,2,4
P1,25.71429,9.13318,U,29,17,17
P2,27.14286,7.26514,U,29,18,18
F1,32.00000,8.96289,U,29,18,17
rF1,18.33333,3.47051,U,29,17,18
F2a,34.71429,9.52119,U,29,19,19
F2b,40.33333,8.87944,U,29,19,20
rF2a,40.57143,4.81000,U,29,20,19
rF2b,34.57143,6.73603,U,29,20,20
BC1a,35.85714,7.42399,U,29,19,17
BC1b,40.83333,9.97135,U,29,20,17
rBC1a,28.28571,8.23383,U,29,17,19
rBC1b,29.28571,7.18369,U,29,17,20
BC2a,36.85714,8.68065,U,29,19,18
BC2b,42.57143,9.73178,U,29,20,18
rBC2a,35.00000,9.17294,U,29,18,19
rBC2b,35.85714,10.17801,U,29,18,20
