cross,mean,SE,sex,enviro,sire,dam
P1,37.85714,116.63946,U,35,1,1
P2,35,6.42857,U,35,2,2
F1,31.14286,31.87755,U,35,2,1
rF1,20.71429,44.17687,U,35,1,2
F2a,40.14286,32.11565,U,35,3,3
F2b,38.85714,91.59184,U,35,3,4
rF2a,49.28571,63.46259,U,35,4,3
rF2b,46.71429,14.7483,U,35,4,4
BC1a,39.57143,34.42177,U,35,3,1
BC1b,49.57143,43.65986,U,35,4,1
rBC1a,28.28571,46.65306,U,35,1,3
rBC1b,32.42857,35.70748,U,35,1,4
BC2a,38.42857,55.46939,U,35,3,2
BC2b,32.71429,91.12925,U,35,4,2
rBC2a,15,30.85714,U,35,2,3
rBC2b,32.28571,24.65306,U,35,2,4
