cross,mean,SE,sex,enviro,sire,dam
P1,72.42857,87.75510,U,29,1,1
P2,47.16667,100.78535,U,29,2,2
F1,77.00000,200.76190,U,29,2,1
rF1,57.85714,231.30612,U,29,1,2
F2a,81.57143,44.99320,U,29,3,3
F2b,76.71429,164.98639,U,29,3,4
rF2a,82.85714,38.02041,U,29,4,3
rF2b,74.00000,28.52381,U,29,4,4
BC1a,48.00000,81.71429,U,29,3,1
BC1b,67.28571,15.65306,U,29,4,1
rBC1a,73.42857,67.61224,U,29,1,3
rBC1b,95.83333,9.29444,U,29,1,4
BC2a,89.42857,262.46939,U,29,3,2
BC2b,81.85714,506.63946,U,29,4,2
rBC2a,72.42857,186.61224,U,29,2,3
rBC2b,64.71429,224.89116,U,29,2,4
