cross,mean,SE,sex,enviro,sire,dam
P1,24.57143,8.98373,U,35,1,1
P2,24.57143,8.46240,U,35,2,2
F1,29.57143,8.78813,U,35,2,1
rF1,23.85714,8.97464,U,35,1,2
F2a,26.14286,7.06240,U,35,3,3
F2b,31.00000,9.68799,U,35,3,4
rF2a,37.28571,7.45371,U,35,4,3
rF2b,31.42857,10.09681,U,35,4,4
BC1a,32.14286,5.95790,U,35,3,1
BC1b,40.00000,17.42467,U,35,4,1
rBC1a,19.57143,3.70879,U,35,1,3
rBC1b,14.28571,3.98039,U,35,1,4
BC2a,33.14286,7.63273,U,35,3,2
BC2b,41.28571,8.34013,U,35,4,2
rBC2a,26.00000,6.32456,U,35,2,3
rBC2b,34.28571,9.83607,U,35,2,4
