cross,mean,SE,sex,enviro,sire,dam
P1,33.62500,2.31407,U,35,1,1
P2,42.50000,4.31774,U,35,2,2
F1,44.80000,6.93830,U,35,2,1
rF1,37.25000,8.22977,U,35,1,2
F2a,23.85714,4.52205,U,35,3,3
F2b,25.85714,2.88203,U,35,3,4
rF2a,33.25000,5.46008,U,35,4,3
rF2b,24.12500,3.28110,U,35,4,4
BC1a,35.12500,6.18303,U,35,3,1
BC1b,54.66667,6.55574,U,35,4,1
rBC1a,43.50000,7.23303,U,35,1,3
rBC1b,43.12500,5.65824,U,35,1,4
BC2a,19.20000,4.16413,U,35,3,2
BC2b,13.00000,2.94958,U,35,4,2
rBC2a,47.66667,11.06245,U,35,2,3
rBC2b,47.66667,11.20020,U,35,2,4
