cross,mean,SE,sex,enviro,sire,dam
P1,35.00000,7.42582,U,29,1,1
P2,47.16667,10.03919,U,29,2,2
F1,61.28571,9.87955,U,29,2,1
rF1,55.00000,11.87434,U,29,1,2
F2a,71.28571,14.29571,U,29,3,3
F2b,69.00000,14.28286,U,29,3,4
rF2a,68.14286,14.73808,U,29,4,3
rF2b,95.83333,14.42779,U,29,4,4
BC1a,44.85714,16.72100,U,29,3,1
BC1b,26.83333,9.26433,U,29,4,1
rBC1a,68.85714,6.69552,U,29,1,3
rBC1b,51.25000,21.14779,U,29,1,4
BC2a,81.50000,12.13466,U,29,3,2
BC2b,42.75000,20.06396,U,29,4,2
rBC2a,69.42857,8.70374,U,29,2,3
rBC2b,85.25000,21.53437,U,29,2,4
